FileName,CPUTime,HeapUsage,GC_TotalPauseTime,ConcurrencyCost,IOWritten,IOWrittenDuration,IORead,IOReadDuration
Classroom01.als-1708293045.jfr,99.9833%,265.3MB,145.2ms,188.646ms,24bytes,17.5ms,60bytes,43.5ms
Classroom02.als-1708293045.jfr,96.2778%,297.4MB,188.9ms,332.738ms,83bytes,34.7ms,120bytes,98.3ms
Classroom03.als-1708293045.jfr,96.1442%,175.7MB,110.7ms,345.387ms,63bytes,83ms,67.6bytes,103.4ms
Classroom04.als-1708293045.jfr,96.65%,539.8MB,629.07ms,147.692ms,73bytes,63.8ms,978.3bytes,117.6ms
Classroom05.als-1708293045.jfr,96.4107%,265.7MB,109ms,356.586ms,68bytes,65.4ms,557.5bytes,464.1ms
Classroom06.als-1708293045.jfr,96.5345%,490.5MB,259.4ms,402.3ms,72bytes,27ms,2.3bytes,25.7ms
Classroom07.als-1708293045.jfr,96.4107%,329.9MB,121.5ms,494.557ms,43bytes,15.4ms,226.6bytes,67ms
Classroom08.als-1708293045.jfr,96.2778%,327.6MB,164.9ms,302.062ms,57bytes,23ms,32.9bytes,36ms
Classroom09.als-1708293045.jfr,96.4107%,290.3MB,204ms,468.031ms,58bytes,21.7ms,96.3bytes,130.2ms
Classroom10.als-1708293045.jfr,96.2778%,174.3MB,167ms,316.933ms,24bytes,16.1ms,58bytes,57.8ms
Classroom11.als-1708293077.jfr,96.287%,297.4MB,208.4ms,334.022ms,19bytes,29.2ms,2.8bytes,20.9ms
Classroom12.als-1708293078.jfr,97.2083%,622.6MB,412.24ms,317.287ms,43bytes,26.7ms,383bytes,38.6ms
Classroom13.als-1708293078.jfr,97.0441%,327.3MB,184.5ms,207.204ms,86bytes,45.3ms,77.7bytes,138.4ms
Classroom14.als-1708293078.jfr,96.1442%,172.6MB,100.3ms,242.845ms,133bytes,78.7ms,2.7bytes,60.1ms
Classroom15.als-1708293080.jfr,96.7587%,281.3MB,216.6ms,229.871ms,168bytes,74.6ms,2322bytes,106.2ms
Classroom16.als-1708293080.jfr,96.8597%,176.1MB,115.6ms,393.312ms,89bytes,96.3ms,35.7bytes,72.7ms
Classroom17.als-1708293080.jfr,96.65%,326.3MB,149.3ms,271.483ms,51bytes,83.9ms,71.5bytes,153ms
Classroom18.als-1708293081.jfr,96.7581%,278.6MB,290.1ms,333.887ms,59bytes,44.5ms,35.2bytes,81.9ms
Classroom19.als-1708293082.jfr,96.7581%,461.4MB,276.4ms,556.571ms,86bytes,62.7ms,92.6bytes,131.9ms
Classroom20.als-1708293082.jfr,96.5345%,176.4MB,109.2ms,445.5ms,43bytes,10.2ms,76bytes,28.1ms
Classroom21.als-1708293111.jfr,96.2963%,458.1MB,197.8ms,360.894ms,139bytes,53.5ms,30bytes,25.8ms
Classroom22.als-1708293111.jfr,99.9926%,326.6MB,95.2ms,417.583ms,122.61bytes,68ms,721.1bytes,33.4ms
Classroom23.als-1708293118.jfr,96.7503%,298.5MB,206.5ms,189.74ms,146bytes,95.3ms,52.2bytes,87ms
Classroom24.als-1708293119.jfr,96.9394%,326MB,156.7ms,464.886ms,62bytes,50.1ms,85.8bytes,68ms
Classroom25.als-1708293119.jfr,97.0303%,328MB,121.7ms,169.69ms,21bytes,31.1ms,5.6bytes,35.1ms
Classroom26.als-1708293119.jfr,96.5345%,173MB,114.2ms,257.055ms,19bytes,16.4ms,1.1bytes,38ms
Classroom27.als-1708293119.jfr,96.5345%,307.2MB,261.4ms,179.82ms,19bytes,51.1ms,8.6bytes,12.7ms
Classroom28.als-1708293119.jfr,96.6417%,172.5MB,98.7ms,230.181ms,42.57bytes,73.9ms,3.2bytes,15.3ms
Classroom29.als-1708293121.jfr,96.3932%,303.2MB,140.9ms,248.605ms,43bytes,21.6ms,922bytes,61.3ms
Classroom30.als-1708293122.jfr,96.9394%,325.9MB,92.4ms,199.827ms,97bytes,76.2ms,2.7bytes,24.2ms
Classroom31.als-1708293146.jfr,99.99%,269.8MB,187ms,448.843ms,116.18bytes,53ms,1740.5bytes,109.9ms
Classroom32.als-1708293150.jfr,96.4286%,588.8MB,601.18ms,145.179ms,68bytes,33ms,368bytes,125ms
Classroom33.als-1708293155.jfr,88.8889%,19.8MB,44.7ms,445.5ms,325bytes,128.3ms,60bytes,24.8ms
file01.als-1708293155.jfr,90%,20.1MB,38ms,44.6333ms,40bytes,31.6ms,607.8bytes,53.1ms
file02.als-1708293156.jfr,90%,20MB,38.6ms,62.8667ms,44bytes,43ms,515.7bytes,31.3ms
file03.als-1708293156.jfr,90%,62.2MB,81.9ms,35.9167ms,77bytes,39.8ms,553bytes,84.2ms
file04.als-1708293157.jfr,90%,20MB,65.4ms,35.775ms,44bytes,68ms,905bytes,116.8ms
file05.als-1708293158.jfr,90%,62.5MB,89.7ms,51.8ms,37bytes,22.2ms,30bytes,25.3ms
file06.als-1708293159.jfr,90%,19.9MB,27.6ms,37.0667ms,81.06bytes,51.8ms,31.7bytes,54.8ms
file07.als-1708293164.jfr,90%,20MB,49.5ms,59.1ms,37bytes,22.6ms,3.8bytes,35.2ms
file08.als-1708293171.jfr,90%,20MB,67.2ms,31.125ms,24bytes,17.4ms,1274bytes,88.2ms
file09.als-1708293172.jfr,90%,19.8MB,54.4ms,44.325ms,20.6bytes,42.6ms,1.6bytes,14.5ms
file10.als-1708293173.jfr,88.8889%,62.2MB,40.1ms,33.84ms,76.63bytes,85ms,31.1bytes,24.4ms
file11.als-1708293173.jfr,100%,64MB,99ms,57.54ms,24bytes,27.8ms,400.2bytes,124.2ms
